890	asdf	
wavelength	unknown	unknown
190.0000	-0.7225	1.0000
192.0000	-0.8239	1.0000
194.0000	-0.8513	1.0000
196.0000	-0.8982	1.0000
198.0000	-0.9445	1.0000
200.0000	-1.0234	1.0000
202.0000	-1.1563	1.0000
204.0000	-1.3164	1.0000
206.0000	-1.4388	1.0000
208.0000	-1.5531	1.0000
210.0000	-1.5901	1.0000
212.0000	-1.5888	1.0000
214.0000	-1.5752	1.0000
216.0000	-1.5633	1.0000
218.0000	-1.5587	1.0000
220.0000	-1.6083	1.0000
222.0000	-1.6682	1.0000
224.0000	-1.7590	1.0000
226.0000	-1.8467	1.0000
228.0000	-1.9436	1.0000
230.0000	-2.0120	1.0000
232.0000	-2.0963	1.0000
234.0000	-2.0997	1.0000
236.0000	-2.0930	1.0000
238.0000	-2.0664	1.0000
240.0000	-2.0300	1.0000
242.0000	-1.9965	1.0000
244.0000	-1.9648	1.0000
246.0000	-1.9685	1.0000
248.0000	-1.9516	1.0000
250.0000	-1.8012	1.0000
252.0000	-1.1003	1.0000
254.0000	-0.4742	1.0000
256.0000	-0.1150	1.0000
258.0000	0.0900	1.0000
260.0000	0.2145	1.0000
262.0000	0.2989	1.0000
264.0000	0.3645	1.0000
266.0000	0.4167	1.0000
268.0000	0.4578	1.0000
270.0000	0.4924	1.0000
272.0000	0.5175	1.0000
274.0000	0.5381	1.0000
276.0000	0.5531	1.0000
278.0000	0.5662	1.0000
280.0000	0.5769	1.0000
282.0000	0.5834	1.0000
284.0000	0.5887	1.0000
286.0000	0.5914	1.0000
288.0000	0.5921	1.0000
290.0000	0.5880	1.0000
292.0000	0.5917	1.0000
294.0000	0.5903	1.0000
296.0000	0.5671	1.0000
298.0000	0.5274	1.0000
300.0000	0.4953	1.0000
302.0000	0.4732	1.0000
304.0000	0.4545	1.0000
306.0000	0.4405	1.0000
308.0000	0.4306	1.0000
310.0000	0.4251	1.0000
312.0000	0.4231	1.0000
314.0000	0.4237	1.0000
